50
0 0 0  9 10 8
0 0 8  10 5 8
0 5 8  10 5 8
0 0 16  4 10 4
4 0 16  5 5 4
4 5 16  6 2 3
4 7 16  1 2 2
4 9 16  4 1 4
0 0 20  10 9 6
0 0 26  10 10 10
0 0 36  1 7 6
1 0 36  7 10 2
1 0 38  5 1 8
6 0 38  4 1 8
1 1 38  8 8 4
0 1 42  5 9 5
5 1 42  5 9 5
0 0 47  6 9 4
6 0 47  4 7 4
0 0 51  5 10 8
5 0 51  5 10 7
5 0 58  5 1 1
5 1 58  4 9 1
0 0 59  10 3 6
0 3 59  10 3 7
0 6 59  10 4 7
0 0 66  9 7 2
0 0 68  6 5 7
6 0 68  3 5 6
0 5 68  9 5 8
0 0 76  10 1 10
0 1 76  9 9 5
0 1 81  10 4 6
0 5 81  9 5 6
0 0 87  8 1 5
0 1 87  2 9 6
2 1 87  1 9 7
3 1 87  7 9 7
0 0 94  4 10 5
4 0 94  6 10 5
0 0 99  1 6 2
1 0 99  9 10 2
0 0 101  1 9 4
1 0 101  9 8 4
1 8 101  7 2 4
0 0 105  1 9 7
1 0 105  9 5 9
1 5 105  9 5 9
0 0 114  10 9 2
0 9 114  10 1 1
