65
0 0 0  1 10 10
1 0 0  5 2 10
6 0 0  6 2 10
12 0 0  5 1 9
12 1 0  5 1 8
1 2 0  7 8 10
8 2 0  3 2 10
11 2 0  6 3 6
8 5 0  5 4 8
13 5 0  4 4 10
8 9 0  9 1 10
0 0 10  5 10 6
5 0 10  8 10 6
0 0 16  9 10 9
9 0 16  8 9 9
9 9 16  8 1 9
0 0 25  3 6 6
3 0 25  6 2 2
9 0 25  8 2 4
3 2 25  6 8 6
9 2 25  2 8 3
11 2 25  6 4 6
11 6 25  6 3 4
9 6 29  5 1 2
9 7 29  1 3 2
0 0 31  10 10 4
10 0 31  5 10 4
15 0 31  2 6 4
0 0 35  6 10 9
6 0 35  9 5 3
6 5 35  2 5 3
8 5 35  9 5 3
6 0 38  3 7 5
9 0 38  5 8 1
6 8 38  10 2 1
9 0 39  1 5 4
10 0 39  7 1 2
10 1 39  7 8 5
0 0 44  9 10 8
9 0 44  8 3 8
9 3 44  8 7 3
9 3 47  8 7 5
0 0 52  1 7 3
1 0 52  1 10 6
2 0 52  6 3 5
8 0 52  6 1 3
8 1 52  6 2 6
2 3 52  6 6 6
8 3 52  9 7 6
0 0 58  5 1 8
0 1 58  3 9 8
3 1 58  7 9 8
10 1 58  5 8 2
10 0 60  7 6 6
10 6 60  7 4 6
0 0 66  1 5 10
1 0 66  8 10 5
9 0 66  5 7 5
14 0 66  2 8 1
14 0 67  3 7 3
9 7 67  7 1 4
1 0 71  9 9 5
10 0 71  7 10 1
10 0 72  6 8 5
10 8 72  7 1 1
